"RecountID","Video_Line_Name","SurveyID","VideoOperatorID","Minute","BurrowCount","NephropsIn","NephropsOut","StopTime","StartTime","Unusuable"
2,123,"CV20017",8,2,16,0,0,NA,NA,NA
3,123,"CV20017",8,3,10,0,0,NA,NA,NA
4,123,"CV20017",8,4,13,0,0,NA,NA,NA
5,123,"CV20017",8,5,10,0,0,NA,NA,NA
6,123,"CV20017",8,6,9,0,0,NA,NA,NA
7,123,"CV20017",8,7,5,0,0,NA,NA,NA
8,123,"CV20017",8,8,3,0,0,NA,NA,NA
12,123,"CV20017",1,2,10,0,0,NA,NA,NA
13,123,"CV20017",1,3,10,0,0,NA,NA,NA
14,123,"CV20017",1,4,12,0,0,NA,NA,NA
15,123,"CV20017",1,5,9,0,0,NA,NA,NA
16,123,"CV20017",1,6,6,0,0,NA,NA,NA
17,123,"CV20017",1,7,2,0,0,NA,NA,NA
18,123,"CV20017",1,8,2,0,0,NA,NA,NA
22,125,"CV20017",1,2,10,0,0,NA,NA,NA
23,125,"CV20017",1,3,9,0,0,NA,NA,NA
24,125,"CV20017",1,4,7,0,0,NA,NA,NA
25,125,"CV20017",1,5,4,0,0,NA,NA,NA
26,125,"CV20017",1,6,9,0,0,NA,NA,NA
27,125,"CV20017",1,7,2,0,0,NA,NA,NA
28,125,"CV20017",1,8,13,0,0,NA,NA,NA
32,125,"CV20017",6,2,5,0,0,NA,NA,NA
33,125,"CV20017",6,3,6,0,0,NA,NA,NA
34,125,"CV20017",6,4,7,0,0,NA,NA,NA
35,125,"CV20017",6,5,5,0,0,NA,NA,NA
36,125,"CV20017",6,6,10,0,0,NA,NA,NA
37,125,"CV20017",6,7,1,0,0,NA,NA,NA
38,125,"CV20017",6,8,14,0,0,NA,NA,NA
42,126,"CV20017",1,2,12,0,0,NA,NA,NA
43,126,"CV20017",1,3,9,0,0,NA,NA,NA
44,126,"CV20017",1,4,5,0,0,NA,NA,NA
45,126,"CV20017",1,5,7,0,0,NA,NA,NA
46,126,"CV20017",1,6,6,0,0,NA,NA,NA
47,126,"CV20017",1,7,16,0,0,NA,NA,NA
48,126,"CV20017",1,8,8,0,0,NA,NA,NA
52,126,"CV20017",6,2,10,0,0,NA,NA,NA
53,126,"CV20017",6,3,8,0,0,NA,NA,NA
54,126,"CV20017",6,4,4,0,0,NA,NA,NA
55,126,"CV20017",6,5,5,0,0,NA,NA,NA
56,126,"CV20017",6,6,5,0,0,NA,NA,NA
57,126,"CV20017",6,7,11,0,0,NA,NA,NA
58,126,"CV20017",6,8,9,0,0,NA,NA,NA
62,137,"CV20017",1,2,3,0,0,NA,NA,NA
63,137,"CV20017",1,3,6,0,0,NA,NA,NA
64,137,"CV20017",1,4,8,0,0,NA,NA,NA
65,137,"CV20017",1,5,6,0,0,NA,NA,NA
66,137,"CV20017",1,6,12,0,0,NA,NA,NA
67,137,"CV20017",1,7,5,0,0,NA,NA,NA
68,137,"CV20017",1,8,3,0,0,NA,NA,NA
72,137,"CV20017",6,2,7,0,0,NA,NA,NA
73,137,"CV20017",6,3,7,0,0,NA,NA,NA
74,137,"CV20017",6,4,8,0,0,NA,NA,NA
75,137,"CV20017",6,5,5,0,0,NA,NA,NA
76,137,"CV20017",6,6,9,0,0,NA,NA,NA
77,137,"CV20017",6,7,4,0,0,NA,NA,NA
78,137,"CV20017",6,8,4,0,0,NA,NA,NA
82,127,"CV20017",8,2,8,0,0,NA,NA,NA
83,127,"CV20017",8,3,10,0,0,NA,NA,NA
84,127,"CV20017",8,4,8,0,0,NA,NA,NA
85,127,"CV20017",8,5,5,0,0,NA,NA,NA
86,127,"CV20017",8,6,4,0,0,NA,NA,NA
87,127,"CV20017",8,7,8,0,0,NA,NA,NA
88,127,"CV20017",8,8,1,0,0,NA,NA,NA
92,127,"CV20017",6,2,7,0,0,NA,NA,NA
93,127,"CV20017",6,3,13,0,0,NA,NA,NA
94,127,"CV20017",6,4,6,0,0,NA,NA,NA
95,127,"CV20017",6,5,5,0,0,NA,NA,NA
96,127,"CV20017",6,6,3,0,0,NA,NA,NA
97,127,"CV20017",6,7,7,0,0,NA,NA,NA
98,127,"CV20017",6,8,1,0,0,NA,NA,NA
102,135,"CV20017",8,2,12,0,0,NA,NA,NA
103,135,"CV20017",8,3,10,0,0,NA,NA,NA
104,135,"CV20017",8,4,11,0,0,NA,NA,NA
105,135,"CV20017",8,5,8,0,0,NA,NA,NA
106,135,"CV20017",8,6,9,0,0,NA,NA,NA
107,135,"CV20017",8,7,12,0,0,NA,NA,NA
108,135,"CV20017",8,8,10,0,0,NA,NA,NA
112,135,"CV20017",1,2,10,0,0,NA,NA,NA
113,135,"CV20017",1,3,7,0,0,NA,NA,NA
114,135,"CV20017",1,4,8,0,0,NA,NA,NA
115,135,"CV20017",1,5,7,0,0,NA,NA,NA
116,135,"CV20017",1,6,9,0,0,NA,NA,NA
117,135,"CV20017",1,7,8,0,0,NA,NA,NA
118,135,"CV20017",1,8,6,0,0,NA,NA,NA
152,138,"CV20017",1,2,15,0,0,1899-12-30 00:01:00,1899-12-30 00:01:05,NA
153,138,"CV20017",1,3,26,0,0,1899-12-30 00:02:00,1899-12-30 00:02:04,NA
154,138,"CV20017",1,4,26,0,0,NA,NA,NA
155,138,"CV20017",1,5,38,0,0,NA,NA,NA
156,138,"CV20017",1,6,29,0,0,NA,NA,NA
157,138,"CV20017",1,7,31,0,0,1899-12-30 00:06:00,1899-12-30 00:06:05,NA
158,138,"CV20017",1,8,23,0,0,NA,NA,NA
162,138,"CV20017",6,2,18,0,0,1899-12-30 00:01:00,1899-12-30 00:01:05,NA
163,138,"CV20017",6,3,25,0,0,1899-12-30 00:02:00,1899-12-30 00:02:04,NA
164,138,"CV20017",6,4,35,0,0,NA,NA,NA
165,138,"CV20017",6,5,35,0,0,NA,NA,NA
166,138,"CV20017",6,6,30,0,0,NA,NA,NA
167,138,"CV20017",6,7,30,0,0,1899-12-30 00:06:00,1899-12-30 00:06:05,NA
168,138,"CV20017",6,8,25,0,0,NA,NA,NA
182,139,"CV20017",6,2,25,0,0,NA,NA,NA
183,139,"CV20017",6,3,24,0,0,NA,NA,NA
184,139,"CV20017",6,4,21,0,0,NA,NA,NA
185,139,"CV20017",6,5,22,0,0,NA,NA,NA
186,139,"CV20017",6,6,22,0,0,NA,NA,NA
187,139,"CV20017",6,7,21,0,0,NA,NA,NA
188,139,"CV20017",6,8,28,0,0,NA,NA,NA
192,139,"CV20017",1,2,24,0,0,NA,NA,NA
193,139,"CV20017",1,3,21,0,0,NA,NA,NA
194,139,"CV20017",1,4,18,0,0,NA,NA,NA
195,139,"CV20017",1,5,20,0,0,NA,NA,NA
196,139,"CV20017",1,6,21,0,0,NA,NA,NA
197,139,"CV20017",1,7,13,0,0,NA,NA,NA
198,139,"CV20017",1,8,21,0,0,NA,NA,NA
202,149,"CV20017",1,2,16,0,0,NA,NA,NA
203,149,"CV20017",1,3,32,0,0,NA,NA,NA
204,149,"CV20017",1,4,32,0,0,NA,NA,NA
205,149,"CV20017",1,5,27,0,0,NA,NA,NA
206,149,"CV20017",1,6,31,0,0,NA,NA,NA
207,149,"CV20017",1,7,28,0,0,NA,NA,NA
208,149,"CV20017",1,8,24,0,0,NA,NA,NA
212,149,"CV20017",6,2,12,0,0,NA,NA,NA
213,149,"CV20017",6,3,29,0,0,NA,NA,NA
214,149,"CV20017",6,4,28,0,0,NA,NA,NA
215,149,"CV20017",6,5,28,0,0,NA,NA,NA
216,149,"CV20017",6,6,31,0,0,NA,NA,NA
217,149,"CV20017",6,7,23,0,0,NA,NA,NA
218,149,"CV20017",6,8,26,0,0,NA,NA,NA
222,130,"CV20017",8,2,29,0,0,1899-12-30 00:01:00,1899-12-30 00:01:08,NA
223,130,"CV20017",8,3,39,0,0,NA,NA,NA
224,130,"CV20017",8,4,39,0,0,1899-12-30 00:03:00,1899-12-30 00:03:04,NA
225,130,"CV20017",8,5,30,0,0,NA,NA,NA
226,130,"CV20017",8,6,35,0,0,NA,NA,NA
227,130,"CV20017",8,7,26,0,0,NA,NA,NA
228,130,"CV20017",8,8,20,0,0,NA,NA,NA
232,130,"CV20017",6,2,25,0,0,1899-12-30 00:01:00,1899-12-30 00:01:08,NA
233,130,"CV20017",6,3,30,0,0,NA,NA,NA
234,130,"CV20017",6,4,38,0,0,1899-12-30 00:03:00,1899-12-30 00:03:04,NA
235,130,"CV20017",6,5,34,0,0,NA,NA,NA
236,130,"CV20017",6,6,43,0,0,NA,NA,NA
237,130,"CV20017",6,7,26,0,0,NA,NA,NA
238,130,"CV20017",6,8,24,0,0,NA,NA,NA
264,150,"CV20017",1,4,4,0,0,NA,NA,NA
265,150,"CV20017",1,5,4,0,0,NA,NA,NA
266,150,"CV20017",1,6,5,0,0,NA,NA,NA
267,150,"CV20017",1,7,8,0,0,NA,NA,NA
268,150,"CV20017",1,8,11,0,0,NA,NA,NA
269,150,"CV20017",1,9,8,0,0,NA,NA,NA
270,150,"CV20017",1,10,11,0,0,NA,NA,NA
274,150,"CV20017",6,4,7,0,0,NA,NA,NA
275,150,"CV20017",6,5,5,0,0,NA,NA,NA
276,150,"CV20017",6,6,7,0,0,NA,NA,NA
277,150,"CV20017",6,7,11,0,0,NA,NA,NA
278,150,"CV20017",6,8,14,0,0,NA,NA,NA
279,150,"CV20017",6,9,8,0,0,NA,NA,NA
280,150,"CV20017",6,10,12,0,0,NA,NA,NA
282,151,"CV20017",8,2,7,0,0,NA,NA,NA
283,151,"CV20017",8,3,12,0,0,NA,NA,NA
284,151,"CV20017",8,4,10,0,0,NA,NA,NA
285,151,"CV20017",8,5,12,0,0,NA,NA,NA
286,151,"CV20017",8,6,5,0,0,NA,NA,NA
287,151,"CV20017",8,7,8,0,0,NA,NA,NA
288,151,"CV20017",8,8,6,0,0,NA,NA,NA
291,151,"CV20017",6,2,6,0,0,NA,NA,NA
292,151,"CV20017",6,3,11,0,0,NA,NA,NA
293,151,"CV20017",6,4,10,0,0,NA,NA,NA
294,151,"CV20017",6,5,12,0,0,NA,NA,NA
295,151,"CV20017",6,6,7,0,0,NA,NA,NA
296,151,"CV20017",6,7,7,0,0,NA,NA,NA
297,151,"CV20017",6,8,9,0,0,NA,NA,NA
300,142,"CV20017",8,2,19,0,0,NA,NA,NA
301,142,"CV20017",8,3,14,0,0,NA,NA,NA
302,142,"CV20017",8,4,20,0,0,NA,NA,NA
303,142,"CV20017",8,5,13,0,0,NA,NA,NA
304,142,"CV20017",8,6,12,0,0,NA,NA,NA
305,142,"CV20017",8,7,18,0,0,NA,NA,NA
306,142,"CV20017",8,8,21,0,0,NA,NA,NA
378,121,"CV20017",8,2,7,0,0,NA,NA,NA
379,121,"CV20017",8,3,3,0,0,NA,NA,NA
380,121,"CV20017",8,4,5,0,0,NA,NA,NA
381,121,"CV20017",8,5,12,0,0,NA,NA,NA
382,121,"CV20017",8,6,5,0,0,NA,NA,NA
383,121,"CV20017",8,7,4,0,0,NA,NA,NA
384,121,"CV20017",8,8,5,0,0,NA,NA,NA
388,121,"CV20017",1,2,3,0,0,NA,NA,NA
389,121,"CV20017",1,3,3,0,0,NA,NA,NA
390,121,"CV20017",1,4,5,0,0,NA,NA,NA
391,121,"CV20017",1,5,8,0,0,NA,NA,NA
392,121,"CV20017",1,6,4,0,0,NA,NA,NA
393,121,"CV20017",1,7,4,0,0,NA,NA,NA
394,121,"CV20017",1,8,5,0,0,NA,NA,NA
400,147,"CV20017",8,4,7,0,0,NA,NA,NA
401,147,"CV20017",8,5,6,0,0,1899-12-30 00:04:00,1899-12-30 00:04:05,NA
402,147,"CV20017",8,6,11,0,0,NA,NA,NA
403,147,"CV20017",8,7,7,0,0,1899-12-30 00:06:00,1899-12-30 00:06:14,NA
404,147,"CV20017",8,8,7,0,0,1899-12-30 00:07:00,1899-12-30 00:07:12,NA
405,147,"CV20017",8,9,8,0,0,1899-12-30 00:08:00,1899-12-30 00:08:06,NA
406,147,"CV20017",8,10,12,0,0,1899-12-30 00:09:00,1899-12-30 00:09:04,NA
410,147,"CV20017",1,4,7,0,0,NA,NA,NA
411,147,"CV20017",1,5,6,0,0,1899-12-30 00:04:00,1899-12-30 00:04:05,NA
412,147,"CV20017",1,6,10,0,0,NA,NA,NA
413,147,"CV20017",1,7,7,0,0,1899-12-30 00:06:00,1899-12-30 00:06:14,NA
414,147,"CV20017",1,8,8,0,0,1899-12-30 00:07:00,1899-12-30 00:07:12,NA
415,147,"CV20017",1,9,8,0,0,1899-12-30 00:08:00,1899-12-30 00:08:06,NA
416,147,"CV20017",1,10,13,0,0,1899-12-30 00:09:00,1899-12-30 00:09:04,NA
418,154,"CV20017",8,2,18,0,0,NA,NA,NA
419,154,"CV20017",8,3,10,0,0,NA,NA,NA
420,154,"CV20017",8,4,15,0,0,NA,NA,NA
421,154,"CV20017",8,5,9,0,0,NA,NA,NA
422,154,"CV20017",8,6,17,0,0,NA,NA,NA
423,154,"CV20017",8,7,14,0,0,NA,NA,NA
424,154,"CV20017",8,8,13,0,0,NA,NA,NA
430,154,"CV20017",6,2,18,0,0,NA,NA,NA
431,154,"CV20017",6,3,11,0,0,NA,NA,NA
432,154,"CV20017",6,4,15,0,0,NA,NA,NA
433,154,"CV20017",6,5,12,0,0,NA,NA,NA
434,154,"CV20017",6,6,22,0,0,NA,NA,NA
435,154,"CV20017",6,7,19,0,0,NA,NA,NA
436,154,"CV20017",6,8,14,0,0,NA,NA,NA
442,131,"CV20017",8,2,0,0,0,NA,NA,NA
443,131,"CV20017",8,3,0,0,0,NA,NA,NA
444,131,"CV20017",8,4,0,0,0,NA,NA,NA
445,131,"CV20017",8,5,2,0,0,NA,NA,NA
446,131,"CV20017",8,6,0,0,0,NA,NA,NA
447,131,"CV20017",8,7,0,0,0,NA,NA,NA
448,131,"CV20017",8,8,0,0,0,NA,NA,NA
452,131,"CV20017",1,2,0,0,0,NA,NA,NA
453,131,"CV20017",1,3,0,0,0,NA,NA,NA
454,131,"CV20017",1,4,0,0,0,NA,NA,NA
455,131,"CV20017",1,5,1,0,0,NA,NA,NA
456,131,"CV20017",1,6,0,0,0,NA,NA,NA
457,131,"CV20017",1,7,0,0,0,NA,NA,NA
458,131,"CV20017",1,8,0,0,0,NA,NA,NA
462,120,"CV20017",8,2,6,0,0,NA,NA,NA
463,120,"CV20017",8,3,6,0,0,NA,NA,NA
464,120,"CV20017",8,4,6,0,0,NA,NA,NA
465,120,"CV20017",8,5,1,0,0,NA,NA,NA
466,120,"CV20017",8,6,4,0,0,NA,NA,NA
467,120,"CV20017",8,7,4,0,0,NA,NA,NA
468,120,"CV20017",8,8,4,0,0,NA,NA,NA
472,120,"CV20017",6,2,4,0,0,NA,NA,NA
473,120,"CV20017",6,3,7,0,0,NA,NA,NA
474,120,"CV20017",6,4,4,0,0,NA,NA,NA
475,120,"CV20017",6,5,1,0,0,NA,NA,NA
476,120,"CV20017",6,6,4,0,0,NA,NA,NA
477,120,"CV20017",6,7,5,0,0,NA,NA,NA
478,120,"CV20017",6,8,1,0,0,NA,NA,NA
492,122,"CV20017",8,2,4,0,0,NA,NA,NA
493,122,"CV20017",8,3,13,0,0,NA,NA,NA
494,122,"CV20017",8,4,6,0,0,NA,NA,NA
495,122,"CV20017",8,5,3,0,0,NA,NA,NA
496,122,"CV20017",8,6,3,0,0,NA,NA,NA
497,122,"CV20017",8,7,3,0,0,NA,NA,NA
498,122,"CV20017",8,8,3,0,0,1899-12-30 00:07:00,1899-12-30 00:07:04,NA
502,122,"CV20017",6,2,5,0,0,NA,NA,NA
503,122,"CV20017",6,3,12,0,0,NA,NA,NA
504,122,"CV20017",6,4,5,0,0,NA,NA,NA
505,122,"CV20017",6,5,2,0,0,NA,NA,NA
506,122,"CV20017",6,6,3,0,0,NA,NA,NA
507,122,"CV20017",6,7,4,0,0,NA,NA,NA
508,122,"CV20017",6,8,2,0,0,1899-12-30 00:07:00,1899-12-30 00:07:04,NA
532,157,"CV20017",8,2,4,0,0,1899-12-30 00:01:00,1899-12-30 00:01:09,NA
533,157,"CV20017",8,3,6,0,0,1899-12-30 00:02:00,1899-12-30 00:02:04,NA
534,157,"CV20017",8,4,4,0,0,NA,NA,NA
535,157,"CV20017",8,5,3,0,0,1899-12-30 00:04:00,1899-12-30 00:04:08,NA
536,157,"CV20017",8,6,6,0,0,NA,NA,NA
537,157,"CV20017",8,7,4,0,0,1899-12-30 00:06:00,1899-12-30 00:06:04,NA
539,157,"CV20017",8,9,4,0,0,1899-12-30 00:08:00,1899-12-30 00:08:04,NA
542,157,"CV20017",1,2,3,0,0,1899-12-30 00:01:00,1899-12-30 00:01:09,NA
543,157,"CV20017",1,3,6,0,0,1899-12-30 00:02:00,1899-12-30 00:02:04,NA
544,157,"CV20017",1,4,6,0,0,NA,NA,NA
545,157,"CV20017",1,5,3,0,0,1899-12-30 00:04:00,1899-12-30 00:04:08,NA
546,157,"CV20017",1,6,6,0,0,NA,NA,NA
547,157,"CV20017",1,7,3,0,0,1899-12-30 00:06:00,1899-12-30 00:06:04,NA
549,157,"CV20017",1,9,5,0,0,1899-12-30 00:08:00,1899-12-30 00:08:04,NA
552,142,"CV20017",1,2,20,0,0,NA,NA,NA
553,142,"CV20017",1,3,18,0,0,NA,NA,NA
554,142,"CV20017",1,4,24,0,0,NA,NA,NA
555,142,"CV20017",1,5,16,0,0,NA,NA,NA
556,142,"CV20017",1,6,17,0,0,NA,NA,NA
557,142,"CV20017",1,7,21,0,0,NA,NA,NA
558,142,"CV20017",1,8,26,0,0,NA,NA,NA
582,128,"CV20017",8,2,20,0,0,1899-12-30 00:01:00,1899-12-30 00:01:03,NA
583,128,"CV20017",8,3,24,0,0,NA,NA,NA
584,128,"CV20017",8,4,13,0,0,NA,NA,NA
585,128,"CV20017",8,5,16,0,0,NA,NA,NA
586,128,"CV20017",8,6,12,0,0,NA,NA,NA
587,128,"CV20017",8,7,19,0,0,NA,NA,NA
588,128,"CV20017",8,8,13,0,0,NA,NA,NA
592,128,"CV20017",1,2,19,0,0,1899-12-30 00:01:00,1899-12-30 00:01:03,NA
593,128,"CV20017",1,3,28,0,0,NA,NA,NA
594,128,"CV20017",1,4,12,0,0,NA,NA,NA
595,128,"CV20017",1,5,14,0,0,NA,NA,NA
596,128,"CV20017",1,6,11,0,0,NA,NA,NA
597,128,"CV20017",1,7,18,0,0,NA,NA,NA
598,128,"CV20017",1,8,19,0,0,NA,NA,NA
602,132,"CV20017",8,2,9,0,0,1899-12-30 00:01:00,1899-12-30 00:01:06,NA
603,132,"CV20017",8,3,13,0,0,NA,NA,NA
604,132,"CV20017",8,4,12,0,0,NA,NA,NA
605,132,"CV20017",8,5,6,0,0,NA,NA,NA
606,132,"CV20017",8,6,4,0,0,NA,NA,NA
607,132,"CV20017",8,7,13,0,0,NA,NA,NA
608,132,"CV20017",8,8,10,0,0,NA,NA,NA
672,155,"CV20017",8,2,2,0,0,NA,NA,NA
673,155,"CV20017",8,3,1,0,0,1899-12-30 00:02:00,1899-12-30 00:02:07,NA
674,155,"CV20017",8,4,1,0,0,NA,NA,NA
675,155,"CV20017",8,5,4,0,0,NA,NA,NA
676,155,"CV20017",8,6,3,0,0,NA,NA,NA
677,155,"CV20017",8,7,5,0,0,NA,NA,NA
678,155,"CV20017",8,8,2,0,0,NA,NA,NA
682,155,"CV20017",1,2,1,0,0,NA,NA,NA
683,155,"CV20017",1,3,1,0,0,1899-12-30 00:02:00,1899-12-30 00:02:07,NA
684,155,"CV20017",1,4,1,0,0,NA,NA,NA
